KEY: a , Value: 6970
KEY: adorns , Value: 1

KEY: adown , Value: 1

KEY: adramadio , Value: 2

KEY: adrian , Value: 13

KEY: adriana , Value: 88

KEY: adriano , Value: 111

KEY: adriatic , Value: 1

KEY: adulterate , Value: 1

KEY: adulteress , Value: 3

KEY: adulteries , Value: 1

KEY: adulterous , Value: 1

KEY: adultery , Value: 4

KEY: advance , Value: 8

KEY: advanced , Value: 6

KEY: advancement , Value: 2

KEY: advancing , Value: 7

KEY: advantage , Value: 23

KEY: advantaged , Value: 1

KEY: advantageous , Value: 2

KEY: advantages , Value: 1

KEY: adventure , Value: 12

KEY: adventured , Value: 1

KEY: adventures , Value: 2

KEY: adventuring , Value: 1

KEY: adventurous , Value: 2

KEY: adversaries , Value: 2

KEY: adversary , Value: 2

KEY: adversarys , Value: 1

KEY: adverse , Value: 5

KEY: adversity , Value: 5

KEY: advertise , Value: 1

KEY: advertised , Value: 1

KEY: advertisement , Value: 2

KEY: advertising , Value: 1

KEY: advice , Value: 22

KEY: advise , Value: 22

KEY: advised , Value: 16

KEY: advisedly , Value: 1

KEY: advises , Value: 1

KEY: advisings , Value: 1

KEY: advocate , Value: 6

KEY: advocates , Value: 1

KEY: aeacides , Value: 1

KEY: aegeon , Value: 24

KEY: aegle , Value: 1

KEY: aemelia , Value: 16

KEY: aemilia , Value: 5

KEY: aeneas , Value: 78

KEY: aer , Value: 2

KEY: aesculapius , Value: 2

KEY: aeson , Value: 1

KEY: afar , Value: 5

KEY: afeard , Value: 19

KEY: afeared , Value: 1

KEY: affability , Value: 1

KEY: affable , Value: 2

KEY: affair , Value: 5

KEY: affaire , Value: 1

KEY: affairs , Value: 25

KEY: affect , Value: 12

KEY: affectation , Value: 1

KEY: affectations , Value: 1

KEY: affected , Value: 12

KEY: affecting , Value: 1

KEY: affection , Value: 48

KEY: affectionately , Value: 1

KEY: affectioned , Value: 1

KEY: affections , Value: 19

KEY: affects , Value: 4

KEY: affectst , Value: 1

KEY: affiance , Value: 1

KEY: affianced , Value: 2

KEY: affied , Value: 1

KEY: affined , Value: 1

KEY: affirm , Value: 1

KEY: affirmation , Value: 1

KEY: affirmatives , Value: 1

KEY: afflict , Value: 4

KEY: afflicted , Value: 3

KEY: affliction , Value: 8

KEY: afflictions , Value: 2

KEY: afford , Value: 6

KEY: affords , Value: 4

KEY: affright , Value: 2

KEY: affrighted , Value: 1

KEY: affront , Value: 3

KEY: affronted , Value: 1

KEY: afield , Value: 1

KEY: afire , Value: 1

KEY: afoot , Value: 2

KEY: afore , Value: 5

KEY: aforehand , Value: 1

KEY: aforesaid , Value: 3

KEY: aforet , Value: 1

KEY: afraid , Value: 17

KEY: afresh , Value: 2

KEY: afric , Value: 3

KEY: african , Value: 1

KEY: after , Value: 187

KEY: afternoon , Value: 15

KEY: afterward , Value: 7

KEY: afterwards , Value: 8

KEY: again , Value: 302

KEY: against , Value: 190

KEY: agamemnon , Value: 90

KEY: agamemnons , Value: 6

KEY: agate , Value: 2

KEY: age , Value: 64

KEY: aged , Value: 9

KEY: agenor , Value: 1

KEY: agent , Value: 6

KEY: ages , Value: 6

KEY: aggravate , Value: 2

KEY: agitation , Value: 1

KEY: aglet , Value: 1

KEY: ago , Value: 12

KEY: agone , Value: 2

KEY: agony , Value: 2

KEY: agood , Value: 1

KEY: agree , Value: 6

KEY: agreed , Value: 7

KEY: agreeing , Value: 1

KEY: agreement , Value: 3

KEY: agrees , Value: 3

KEY: aground , Value: 1

KEY: ague , Value: 5

KEY: aguecheek , Value: 3

KEY: agueface , Value: 1

KEY: ah , Value: 32

KEY: aid , Value: 16

KEY: aided , Value: 1

KEY: aiding , Value: 1

KEY: ail , Value: 1

KEY: ailest , Value: 1

KEY: aim , Value: 15

KEY: aimd , Value: 3

KEY: aimed , Value: 1

KEY: aiming , Value: 1

KEY: aims , Value: 3

KEY: air , Value: 79

KEY: aired , Value: 1

KEY: airs , Value: 4

KEY: airy , Value: 5

KEY: ajax , Value: 124

KEY: alabaster , Value: 1

KEY: alack , Value: 25

KEY: alacrity , Value: 2

KEY: alarm , Value: 1

KEY: alarum , Value: 6

KEY: alarums , Value: 3

KEY: alas , Value: 99

KEY: albeit , Value: 8

KEY: alce , Value: 1

KEY: alcides , Value: 3

KEY: ale , Value: 13

KEY: alehouse , Value: 4

KEY: alencon , Value: 1

KEY: alencons , Value: 1

KEY: ales , Value: 1

KEY: aleven , Value: 1

KEY: alexander , Value: 14

KEY: alias , Value: 2

KEY: alice , Value: 2

KEY: alien , Value: 1

KEY: aliena , Value: 7

KEY: alighted , Value: 2

KEY: alike , Value: 15

KEY: alisander , Value: 6

KEY: alit , Value: 1

KEY: alive , Value: 29

KEY: all , Value: 1529

KEY: alla , Value: 1

KEY: allay , Value: 5

KEY: allaying , Value: 1

KEY: allayment , Value: 1

KEY: allayments , Value: 1

KEY: allege , Value: 1

KEY: allegiance , Value: 6

KEY: alley , Value: 2

KEY: alleys , Value: 1

KEY: alliance , Value: 3

KEY: allicholy , Value: 1

KEY: allied , Value: 4

KEY: allies , Value: 1

KEY: alligant , Value: 1

KEY: allons , Value: 3

KEY: allot , Value: 1

KEY: allottery , Value: 1

KEY: allow , Value: 10

KEY: allowance , Value: 2

KEY: allowd , Value: 4

KEY: allowed , Value: 7

KEY: allowing , Value: 2

KEY: allows , Value: 2

KEY: alls , Value: 12

KEY: allure , Value: 2

KEY: allured , Value: 1

KEY: allurement , Value: 1

KEY: alluring , Value: 1

KEY: allusion , Value: 2

KEY: allycholly , Value: 1

KEY: almanac , Value: 2

KEY: almighty , Value: 4

KEY: almond , Value: 1

KEY: almost , Value: 69

KEY: alms , Value: 6

KEY: aloft , Value: 3

KEY: alone , Value: 78

KEY: along , Value: 44

KEY: alonso , Value: 49

KEY: aloof , Value: 5

KEY: aloud , Value: 11

KEY: alphabetical , Value: 1

KEY: alphonso , Value: 1

KEY: already , Value: 56

KEY: also , Value: 13

KEY: altar , Value: 8

KEY: altars , Value: 3

KEY: alter , Value: 10

KEY: alteration , Value: 2

KEY: alterd , Value: 6

KEY: altered , Value: 3

KEY: altering , Value: 1

KEY: alters , Value: 1

KEY: although , Value: 31

KEY: altogether , Value: 10

KEY: altogethers , Value: 1

KEY: always , Value: 30

KEY: am , Value: 1087

KEY: amaimon , Value: 1

KEY: amain , Value: 4

KEY: amaze , Value: 5

KEY: amazed , Value: 19

KEY: amazedly , Value: 3

KEY: amazedness , Value: 2

KEY: amazement , Value: 9

KEY: amazes , Value: 1

KEY: amazon , Value: 1

KEY: ambassador , Value: 5

KEY: ambassadors , Value: 2

KEY: amber , Value: 5

KEY: ambition , Value: 11

KEY: ambitions , Value: 1

KEY: ambitious , Value: 6

KEY: ambles , Value: 4

KEY: ambling , Value: 1

KEY: ambush , Value: 4

KEY: amen , Value: 31

KEY: amend , Value: 10

KEY: amended , Value: 1

KEY: amendment , Value: 2

KEY: amends , Value: 15

KEY: america , Value: 1

KEY: ames , Value: 1

KEY: amiable , Value: 5

KEY: amid , Value: 1

KEY: amidst , Value: 1

KEY: amiens , Value: 16

KEY: amiss , Value: 12

KEY: amity , Value: 6

KEY: among , Value: 38

KEY: amongst , Value: 13

KEY: amorous , Value: 13

KEY: amort , Value: 1

KEY: amount , Value: 5

KEY: amounts , Value: 3

KEY: amphimachus , Value: 1

KEY: ample , Value: 8

KEY: ampler , Value: 1

KEY: amplest , Value: 1

KEY: amplify , Value: 1

KEY: amply , Value: 2

KEY: an , Value: 825

KEY: anatomize , Value: 1

KEY: anatomized , Value: 2

KEY: anatomy , Value: 2

KEY: ancestor , Value: 1

KEY: ancestors , Value: 8

KEY: ancestry , Value: 2

KEY: anchises , Value: 1

KEY: anchor , Value: 3

KEY: anchoring , Value: 1

KEY: anchors , Value: 3

KEY: ancient , Value: 20

KEY: ancientry , Value: 2

KEY: ancientst , Value: 1

KEY: and , Value: 10263

KEY: andirons , Value: 1

KEY: andrew , Value: 117

KEY: andromache , Value: 11

KEY: ands , Value: 1

KEY: anew , Value: 1

KEY: angel , Value: 21

KEY: angelo , Value: 204

KEY: angelos , Value: 6

KEY: angels , Value: 16

KEY: anger , Value: 22

KEY: angerd , Value: 3

KEY: angerly , Value: 1

KEY: angers , Value: 1

KEY: angle , Value: 5

KEY: angled , Value: 1

KEY: angling , Value: 2

KEY: angry , Value: 40

KEY: anguish , Value: 1

KEY: animal , Value: 2

KEY: animals , Value: 4

KEY: ann , Value: 1

KEY: anna , Value: 1

KEY: anne , Value: 76

KEY: annes , Value: 4

KEY: annothanize , Value: 1

KEY: annoy , Value: 1

KEY: annoyance , Value: 1

KEY: annoyd , Value: 1

KEY: annual , Value: 3

KEY: anoint , Value: 1

KEY: anointed , Value: 3

KEY: anon , Value: 50

KEY: another , Value: 207

KEY: anothers , Value: 9

KEY: answer , Value: 163

KEY: answerable , Value: 1

KEY: answerd , Value: 19

KEY: answered , Value: 11

KEY: answering , Value: 6

KEY: answers , Value: 12

KEY: answerst , Value: 2

KEY: ant , Value: 17

KEY: ante , Value: 2

KEY: antechamber , Value: 1

KEY: antenor , Value: 15

KEY: antenorides , Value: 1

KEY: anthem , Value: 1

KEY: anthony , Value: 2

KEY: anthropophaginian , Value: 1

KEY: antic , Value: 1

KEY: anticipating , Value: 1

KEY: anticly , Value: 1

KEY: antics , Value: 1

KEY: antigonus , Value: 28

KEY: antioch , Value: 10

KEY: antiochus , Value: 30

KEY: antiopa , Value: 1

KEY: antipholus , Value: 215

KEY: antipholuses , Value: 1

KEY: antipodes , Value: 3

KEY: antiquary , Value: 1

KEY: antique , Value: 7

KEY: antiquity , Value: 3

KEY: antiquius , Value: 1

KEY: antonio , Value: 259

KEY: antonios , Value: 8

KEY: antony , Value: 2

KEY: any , Value: 423

KEY: anys , Value: 1

KEY: anything , Value: 7

KEY: apace , Value: 10

KEY: apart , Value: 16

KEY: apartment , Value: 2

KEY: apartments , Value: 1

KEY: ape , Value: 16

KEY: apes , Value: 11

KEY: apex , Value: 1

KEY: apiece , Value: 1

KEY: apish , Value: 1

KEY: apollo , Value: 16

KEY: apollos , Value: 7

KEY: apology , Value: 3

KEY: apostraphas , Value: 1

KEY: appalled , Value: 1

KEY: appals , Value: 1

KEY: apparel , Value: 29

KEY: apparelld , Value: 5

KEY: apparelled , Value: 1

KEY: apparent , Value: 7

KEY: apparently , Value: 1

KEY: apparition , Value: 2

KEY: apparitions , Value: 3

KEY: appeachd , Value: 1

KEY: appeal , Value: 4

KEY: appear , Value: 58

KEY: appearance , Value: 1

KEY: appeard , Value: 5

KEY: appeared , Value: 5

KEY: appearer , Value: 1

KEY: appeareth , Value: 1

KEY: appearing , Value: 2

KEY: appears , Value: 27

KEY: appease , Value: 1

KEY: appeased , Value: 2

KEY: appendix , Value: 1

KEY: appertain , Value: 1

KEY: appertaining , Value: 2

KEY: appertainments , Value: 1

KEY: appertinent , Value: 1

KEY: appetite , Value: 16

KEY: appetites , Value: 1

KEY: applaud , Value: 3

KEY: applause , Value: 8

KEY: apple , Value: 8

KEY: apples , Value: 1

KEY: appliance , Value: 2

KEY: appliances , Value: 1

KEY: applications , Value: 1

KEY: applies , Value: 1

KEY: apply , Value: 10

KEY: appoint , Value: 6

KEY: appointed , Value: 18

KEY: appointment , Value: 5

KEY: appointments , Value: 2

KEY: appoints , Value: 1

KEY: apprehend , Value: 7

KEY: apprehended , Value: 5

KEY: apprehends , Value: 2

KEY: apprehension , Value: 4

KEY: apprehensions , Value: 2

KEY: apprehensive , Value: 1

KEY: approach , Value: 33

KEY: approachd , Value: 3

KEY: approached , Value: 1

KEY: approaches , Value: 4

KEY: approacheth , Value: 1

KEY: approaching , Value: 4

KEY: approbation , Value: 8

KEY: approof , Value: 3

KEY: appropriation , Value: 1

KEY: approve , Value: 7

KEY: approved , Value: 10

KEY: approvers , Value: 1

KEY: approves , Value: 1

KEY: appurtenances , Value: 1

KEY: apricocks , Value: 1

KEY: april , Value: 7

KEY: aprils , Value: 1

KEY: apron , Value: 1

KEY: apt , Value: 22

KEY: apter , Value: 1

KEY: aptly , Value: 3

KEY: aptness , Value: 1

KEY: aqua , Value: 4

KEY: aquilon , Value: 1

KEY: aquitaine , Value: 8

KEY: arabia , Value: 2

KEY: arabian , Value: 1

KEY: araise , Value: 1

KEY: arbitrate , Value: 1

KEY: arbitrator , Value: 1

KEY: arbitrement , Value: 2

KEY: arbour , Value: 1

KEY: arch , Value: 4

KEY: archd , Value: 1

KEY: arched , Value: 2

KEY: archer , Value: 2

KEY: archery , Value: 1

KEY: archidamus , Value: 8

KEY: arden , Value: 6

KEY: ardour , Value: 1

KEY: are , Value: 1506

KEY: argentine , Value: 1

KEY: argier , Value: 2

KEY: argosies , Value: 3

KEY: argosy , Value: 4

KEY: argues , Value: 1

KEY: arguing , Value: 1

KEY: argument , Value: 32

KEY: arguments , Value: 4

KEY: argus , Value: 3

KEY: ariachnes , Value: 1

KEY: ariadne , Value: 2

KEY: ariel , Value: 89

KEY: ariels , Value: 1

KEY: aright , Value: 2

KEY: arion , Value: 1

KEY: arise , Value: 13

KEY: aristotle , Value: 1

KEY: aristotles , Value: 1

KEY: arithmetic , Value: 3

KEY: ark , Value: 1

KEY: arm , Value: 28

KEY: armado , Value: 119

KEY: armadoes , Value: 1

KEY: armados , Value: 2

KEY: armd , Value: 13

KEY: arme , Value: 2

KEY: armed , Value: 13

KEY: armies , Value: 1

KEY: armigero , Value: 2

KEY: arming , Value: 4

KEY: armipotent , Value: 3

KEY: armory , Value: 1

KEY: armour , Value: 8

KEY: armourer , Value: 1

KEY: armours , Value: 2

KEY: arms , Value: 57

KEY: army , Value: 18

KEY: arose , Value: 1

KEY: arragon , Value: 9

KEY: arraign , Value: 2

KEY: arraigned , Value: 1

KEY: arrant , Value: 2

KEY: arras , Value: 4

KEY: array , Value: 5

KEY: arrearages , Value: 1

KEY: arrest , Value: 10

KEY: arrested , Value: 9

KEY: arrests , Value: 1

KEY: arrival , Value: 3

KEY: arrive , Value: 2

KEY: arrived , Value: 12

KEY: arrogance , Value: 4

KEY: arrogant , Value: 1

KEY: arrow , Value: 6

KEY: arrows , Value: 5

KEY: art , Value: 356

KEY: arteries , Value: 1

KEY: article , Value: 7

KEY: articles , Value: 3

KEY: artificial , Value: 2

KEY: artillery , Value: 1

KEY: artist , Value: 2

KEY: artists , Value: 1

KEY: arts , Value: 10

KEY: arviragus , Value: 62

KEY: as , Value: 2632

KEY: ascend , Value: 2

KEY: ascends , Value: 1

KEY: ascension , Value: 1

KEY: ascribe , Value: 2

KEY: ash , Value: 1

KEY: ashamed , Value: 17

KEY: ashes , Value: 1

KEY: ashore , Value: 9

KEY: asia , Value: 2

KEY: aside , Value: 205

KEY: ask , Value: 84

KEY: askance , Value: 1

KEY: askd , Value: 4

KEY: askdtwas , Value: 1

KEY: asked , Value: 7

KEY: asketh , Value: 1

KEY: asking , Value: 3

KEY: asks , Value: 3

KEY: askst , Value: 1

KEY: asleep , Value: 23

KEY: aspect , Value: 8

KEY: aspects , Value: 2

KEY: aspersion , Value: 1

KEY: aspicious , Value: 1

KEY: aspiration , Value: 1

KEY: aspire , Value: 3

KEY: ass , Value: 61

KEY: assail , Value: 2

KEY: assailant , Value: 1

KEY: assailants , Value: 1

KEY: assaild , Value: 1

KEY: assailed , Value: 1

KEY: assails , Value: 1

KEY: assault , Value: 6

KEY: assaults , Value: 3

KEY: assay , Value: 4

KEY: assayd , Value: 1

KEY: assaying , Value: 1

KEY: assembled , Value: 1

KEY: assemblies , Value: 2

KEY: assembly , Value: 4

KEY: assence , Value: 1

KEY: asses , Value: 6

KEY: asshead , Value: 1

KEY: assignd , Value: 1

KEY: assinego , Value: 1

KEY: assist , Value: 14

KEY: assistance , Value: 2

KEY: assistant , Value: 1

KEY: assistants , Value: 1

KEY: assisted , Value: 2

KEY: assisting , Value: 1

KEY: asss , Value: 2

KEY: assubjugate , Value: 1

KEY: assume , Value: 7

KEY: assumed , Value: 1

KEY: assumes , Value: 2

KEY: assuming , Value: 1

KEY: assumption , Value: 1

KEY: assurance , Value: 17

KEY: assure , Value: 30

KEY: assured , Value: 15

KEY: assuredly , Value: 1

KEY: ast , Value: 1

KEY: astonish , Value: 1

KEY: astray , Value: 2

KEY: astronomer , Value: 1

KEY: astronomers , Value: 1

KEY: asunder , Value: 3

KEY: at , Value: 1096

KEY: atalantas , Value: 2

KEY: ate , Value: 1

KEY: ates , Value: 2

KEY: athenian , Value: 15

KEY: athenians , Value: 2

KEY: athens , Value: 26

KEY: athwart , Value: 5

KEY: atomies , Value: 2

KEY: atone , Value: 2

KEY: atonements , Value: 1

KEY: ats , Value: 1

KEY: attach , Value: 4

KEY: attachd , Value: 3

KEY: attachment , Value: 1

KEY: attain , Value: 4

KEY: attaind , Value: 2

KEY: attainder , Value: 1

KEY: attaint , Value: 2

KEY: attempt , Value: 17

KEY: attemptable , Value: 1

KEY: attempted , Value: 1

KEY: attempts , Value: 2

KEY: attend , Value: 49

KEY: attendance , Value: 2

KEY: attendant , Value: 11

KEY: attendants , Value: 49

KEY: attended , Value: 15

KEY: attendeth , Value: 1

KEY: attending , Value: 13

KEY: attends , Value: 13

KEY: attendst , Value: 1

KEY: attent , Value: 1

KEY: attention , Value: 2

KEY: attentive , Value: 3

KEY: attentiveness , Value: 1

KEY: attest , Value: 2

KEY: attested , Value: 1

KEY: attire , Value: 5

KEY: attired , Value: 4

KEY: attires , Value: 1

KEY: attorney , Value: 3

KEY: attorneyd , Value: 1

KEY: attorneyed , Value: 1

KEY: attractions , Value: 2

KEY: attractive , Value: 1

KEY: attracts , Value: 1

KEY: attribute , Value: 4

KEY: attributed , Value: 1

KEY: attributes , Value: 2

KEY: attributive , Value: 1

KEY: au , Value: 1

KEY: auburn , Value: 1

KEY: audacious , Value: 3

KEY: audaciously , Value: 1

KEY: audacity , Value: 1

KEY: audible , Value: 1

KEY: audience , Value: 9

KEY: audit , Value: 1

KEY: auditor , Value: 1

KEY: audrey , Value: 31

KEY: aught , Value: 26

KEY: augmentation , Value: 1

KEY: augmenting , Value: 1

KEY: augury , Value: 1

KEY: august , Value: 1

KEY: augustus , Value: 5

KEY: aunt , Value: 7

KEY: aunts , Value: 1

KEY: auroras , Value: 1

KEY: auspicious , Value: 4

KEY: aussi , Value: 1

KEY: austere , Value: 3

KEY: austerely , Value: 2

KEY: austereness , Value: 1

KEY: austerity , Value: 2

KEY: austria , Value: 1

KEY: authentic , Value: 4

KEY: author , Value: 3

KEY: authorities , Value: 2

KEY: authority , Value: 23

KEY: authors , Value: 6

KEY: autolycus , Value: 75

KEY: autumn , Value: 4

KEY: avail , Value: 2

KEY: avails , Value: 2

KEY: avaunt , Value: 4

KEY: avenue , Value: 1

KEY: averting , Value: 1

KEY: aves , Value: 1

KEY: avised , Value: 3

KEY: avoid , Value: 19

KEY: avoids , Value: 1

KEY: avouch , Value: 5

KEY: avouches , Value: 1

KEY: avow , Value: 1

KEY: awake , Value: 42

KEY: awaked , Value: 8

KEY: awakend , Value: 1

KEY: awakens , Value: 1

KEY: awakes , Value: 2

KEY: awaking , Value: 8

KEY: awards , Value: 2

KEY: away , Value: 343

KEY: awe , Value: 5

KEY: aweary , Value: 4

KEY: awful , Value: 3

KEY: awhile , Value: 29

KEY: awkward , Value: 2

KEY: awry , Value: 1

KEY: axe , Value: 7

KEY: axle , Value: 1

KEY: ay , Value: 364

KEY: aye , Value: 10

KEY: azure , Value: 1

KEY: azured , Value: 2

KEY: b , Value: 6

KEY: ba , Value: 2

KEY: baa , Value: 1

KEY: babble , Value: 3

KEY: babbling , Value: 3

KEY: babe , Value: 19

KEY: babes , Value: 6

KEY: baboon , Value: 1

KEY: baboons , Value: 1

KEY: baby , Value: 7

KEY: babylon , Value: 1

KEY: babys , Value: 1

KEY: baccare , Value: 1

KEY: bacchanals , Value: 1

KEY: bacchus , Value: 1

KEY: bachelor , Value: 9

KEY: bachelors , Value: 2

KEY: back , Value: 91

KEY: backd , Value: 2

KEY: backdoor , Value: 1

KEY: backs , Value: 7

KEY: backside , Value: 1

KEY: backward , Value: 11

KEY: backwards , Value: 1

KEY: bacon , Value: 1

KEY: bad , Value: 51

KEY: bade , Value: 20

KEY: badest , Value: 1

